title,artist,genre,energy,danceability,liveness,valence,duration_ms,acousticness,speechiness,popularity
TiK ToK,Kesha,dance pop,84,76,29,71,200,10,14,80
Just the Way You Are,Bruno Mars,pop,84,64,9,43,221,2,4,78
Dynamite,Taio Cruz,dance pop,78,75,4,82,203,0,9,77
Secrets,OneRepublic,dance pop,76,52,12,38,225,7,4,77
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,87,62,6,47,235,3,3,73
Cooler Than Me - Single Mix,Mike Posner,dance pop,82,77,70,63,213,18,5,73
Telephone,Lady Gaga,dance pop,83,83,11,71,221,1,4,73
Like A G6,Far East Movement,dance pop,84,44,12,78,217,1,45,72
Eenie Meenie,Sean Kingston,dance pop,61,72,11,83,202,5,3,71
The Time (Dirty Bit),The Black Eyed Peas,dance pop,81,82,60,44,308,7,7,70
Alejandro,Lady Gaga,dance pop,80,63,36,37,274,0,5,69
Your Love Is My Drug,Kesha,dance pop,61,83,9,76,187,1,10,69
Meet Me Halfway,The Black Eyed Peas,dance pop,63,80,32,40,284,0,7,68
Take It Off,Kesha,dance pop,68,73,9,74,215,0,3,66
All The Right Moves,OneRepublic,dance pop,95,53,28,65,238,26,5,65
Naturally,Selena Gomez & The Scene,dance pop,90,61,5,88,203,2,5,64
I Like It,Enrique Iglesias,dance pop,94,65,6,73,231,2,9,63
Teenage Dream,Katy Perry,dance pop,80,72,13,59,228,2,4,63
California Gurls,Katy Perry,dance pop,75,79,18,40,235,0,5,62
3,Britney Spears,dance pop,71,70,14,79,213,5,5,62
My First Kiss - feat. Ke$ha,3OH!3,dance pop,89,68,36,83,192,1,8,62
Blah Blah Blah (feat. 3OH!3),Kesha,dance pop,84,75,42,52,172,8,12,62
Imma Be,The Black Eyed Peas,dance pop,52,60,31,41,258,18,37,62
Try Sleeping with a Broken Heart,Alicia Keys,hip pop,82,50,13,55,249,16,11,62
Sexy Bitch (feat. Akon),David Guetta,dance pop,63,81,13,80,196,8,5,61
Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,41,29,13,7,264,83,3,61
If I Had You,Adam Lambert,australian pop,91,65,37,79,228,1,11,59
Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,dance pop,85,51,12,72,185,47,27,58
Doesn't Mean Anything,Alicia Keys,hip pop,41,71,10,10,273,4,3,57
You Lost Me,Christina Aguilera,dance pop,39,23,14,7,257,85,4,56
Not Myself Tonight,Christina Aguilera,dance pop,81,76,56,54,186,0,4,55
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,95,64,18,57,220,6,7,52
Break Your Heart,Taio Cruz,dance pop,90,67,8,63,186,0,3,33
A Thousand Years,Christina Perri,dance pop,41,42,11,16,285,31,3,81
Give Me Everything,Pitbull,dance pop,94,67,30,53,252,19,16,79
Run the World (Girls),Beyoncé,dance pop,90,73,37,76,236,0,14,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,76,72,32,62,201,1,5,76
Love On Top,Beyoncé,dance pop,75,65,60,65,267,8,9,76
Grenade,Bruno Mars,pop,56,71,12,23,223,15,6,75
Marry You,Bruno Mars,pop,83,62,10,48,230,33,4,73
Best Thing I Never Had,Beyoncé,dance pop,65,55,9,30,254,14,3,73
Party Rock Anthem,LMFAO,dance pop,74,75,27,35,262,2,16,72
We R Who We R,Kesha,dance pop,82,74,12,65,205,1,4,72
Price Tag,Jessie J,australian pop,83,64,27,68,223,3,18,72
Good Life,OneRepublic,dance pop,69,63,13,65,253,8,5,72
Just Cant Get Enough,The Black Eyed Peas,dance pop,63,66,11,26,219,19,18,71
On The Floor,Jennifer Lopez,dance pop,78,73,7,57,285,11,5,69
Yeah 3x,Chris Brown,dance pop,88,71,9,70,242,0,4,69
Without You (feat. Usher),David Guetta,dance pop,61,61,16,40,208,23,3,68
Sexy And I Know It,LMFAO,dance pop,86,71,19,80,199,10,32,67
The Edge Of Glory,Lady Gaga,dance pop,77,58,11,36,321,0,4,67
E.T.,Katy Perry,dance pop,87,62,37,76,230,2,18,66
Till the World Ends,Britney Spears,dance pop,71,69,20,45,238,2,7,65
I Wanna Go,Britney Spears,dance pop,55,70,33,79,210,0,4,64
Blow,Kesha,dance pop,73,75,7,81,220,0,4,64
You And I,Lady Gaga,dance pop,70,52,9,52,307,9,5,64
Judas,Lady Gaga,dance pop,93,66,27,53,249,0,7,63
Please Don't Go,Mike Posner,dance pop,88,70,13,66,197,0,3,63
We Found Love,Rihanna,barbadian pop,77,73,11,60,215,3,4,61
Marry The Night,Lady Gaga,dance pop,88,61,46,38,265,0,6,61
1+1,Beyoncé,dance pop,38,30,7,26,274,38,3,60
Hold It Against Me,Britney Spears,dance pop,72,65,24,39,229,1,4,59
Papi,Jennifer Lopez,dance pop,81,71,37,89,223,13,6,58
Cheers (Drink To That),Rihanna,barbadian pop,91,58,29,73,262,2,4,58
Written in the Stars (feat. Eric Turner),Tinie Tempah,dance pop,95,64,18,57,220,6,7,52
Jar of Hearts,Christina Perri,dance pop,35,35,12,9,247,73,3,50
Super Bass,Nicki Minaj,dance pop,74,77,40,59,201,6,23,38
Raise Your Glass,P!nk,dance pop,64,68,12,56,208,0,12,38
Invading My Mind,Jennifer Lopez,dance pop,88,73,32,69,201,2,7,31
